velo_randseed-1409225568
-4.73475,1.26229,-4.73475
-2.37831,-2.90588,-2.37831
-2.01497,2.43737,-2.01497
-3.16053,0.616718,-3.16053
0.972882,-2.9898,0.972882
-3.32321,2.28306,-3.32321
2.43964,3.97235,2.43964
-3.16518,4.25579,-3.16518
0.959969,1.36768,0.959969
-4.52715,-2.16857,-4.52715
-2.82939,-3.6674,-2.82939
1.5907,4.47668,1.5907
-4.08991,4.02658,-4.08991
4.92738,2.95698,4.92738
-4.86909,-3.80451,-4.86909
-3.60033,2.78527,-3.60033
2.72756,4.23419,2.72756
2.01659,-1.96218,2.01659
3.49039,-0.845094,3.49039
-3.64396,1.35858,-3.64396
-3.1759,-3.25002,-3.1759
-1.73969,-4.33224,-1.73969
-0.975506,-0.566321,-0.975506
4.49915,0.251438,4.49915
-2.11687,-1.28229,-2.11687
-0.608182,1.35006,-0.608182
-3.53676,0.0498673,-3.53676
